Above Threshold?,Birth Rate Bin,Country/Region,Ease of Business (clusters),GDP per Capita (bin),Region,Year,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
Below Threshold,Above 3%,Niger,Low,$0 ,Africa,1/12/03,5.20%,,880,35,,,$3B,$223 ,6.80%,$15 ,,0.09,0%,,53,53,53,1%,1,0.486,0.489,0.025,12.3M,16.50%,$0B,$0B
Below Threshold,Above 3%,Nigeria,Moderate,$0 ,Africa,1/12/03,4.30%,,"93,138",36,,"99,007",$68B,$510 ,7.50%,$39 ,,0.103,1%,0.207,48,48,47,2%,1,0.435,0.538,0.028,132.6M,37.40%,$0B,$2B
Below Threshold,Above 3%,Rwanda,Friendly,$0 ,Africa,1/12/03,3.90%,,682,18,,,$2B,$202 ,6.30%,$13 ,,0.083,0%,0.171,52,53,51,1%,1,0.452,0.521,0.027,9.1M,17.60%,$0B,$0B
Below Threshold,Above 3%,Sao Tome and Principe,Low,$0 ,Africa,1/12/03,3.70%,,66,,,,$0B,$687 ,11.80%,$78 ,,0.052,10%,0.296,64,66,62,3%,1,0.426,0.534,0.04,0.1M,56.30%,$0B,$0B
Below Threshold,Above 3%,Senegal,Low,$0 ,Africa,1/12/03,3.90%,,"5,013",59,,"2,556",$7B,$643 ,5.40%,$35 ,,0.062,2%,,60,61,58,7%,1,0.445,0.524,0.032,10.7M,40.80%,$0B,$0B
Below Threshold,1.5-3%,Seychelles,Friendly,"$4,688 ",Africa,1/12/03,1.80%,,557,,,,$1B,"$8,492 ",4.80%,$403 ,,0.012,15%,0.106,71,76,66,59%,1,0.258,0.664,0.078,0.1M,50.60%,$0B,$0B
Above Threshold,Above 3%,Sierra Leone,Moderate,$0 ,Africa,1/12/03,4.30%,,653,26,,,$1B,$291 ,15.50%,$45 ,,0.133,0%,0.2,41,41,40,2%,1,0.428,0.548,0.024,4.7M,36.40%,$0B,$0B
Below Threshold,Above 3%,Somalia,Not Clustered,,Africa,1/12/03,4.70%,,576,,,,,,,,,0.105,0%,,52,53,50,3%,1,0.476,0.495,0.029,8.0M,34.40%,,
Below Threshold,1.5-3%,South Africa,Very Friendly,$0 ,Africa,1/12/03,2.30%,,"380,811",38,,"117,374",$168B,"$3,620 ",8.60%,$310 ,,0.053,7%,0.15,53,54,51,36%,1,0.316,0.645,0.039,46.4M,58.40%,$7B,$4B
Below Threshold,Above 3%,South Sudan,Low,,Africa,1/12/03,4.10%,,,,,,,,,,,0.095,,,50,51,49,,1,0.444,0.525,0.031,7.4M,16.90%,,
Below Threshold,Above 3%,Sudan,Moderate,$0 ,Africa,1/12/03,3.90%,,"9,072",,,"14,725",$18B,$589 ,3.80%,$23 ,,0.064,1%,,59,61,57,1%,1,0.435,0.535,0.03,30.0M,32.70%,$0B,$0B
Below Threshold,Above 3%,Swaziland,Moderate,$0 ,Africa,1/12/03,3.20%,,"1,041",,,,$2B,"$1,704 ",5.80%,$98 ,,0.082,2%,0.146,46,46,46,8%,1,0.43,0.539,0.031,1.1M,22.30%,$0B,$0B
Below Threshold,Above 3%,Tanzania,Moderate,$0 ,Africa,1/12/03,4.20%,,"3,806",28,,"15,491",$12B,$317 ,3.70%,$12 ,,0.066,1%,0.145,52,53,51,4%,1,0.446,0.524,0.03,36.8M,23.60%,$1B,$0B
Below Threshold,Above 3%,Togo,Low,$0 ,Africa,1/12/03,3.90%,,"1,463",65,,"2,303",$2B,$318 ,5.60%,$18 ,,0.072,1%,,54,55,53,5%,1,0.433,0.539,0.028,5.3M,34.30%,$0B,$0B
Below Threshold,1.5-3%,Tunisia,Very Friendly,$0 ,Africa,1/12/03,1.70%,,"21,397",11,,"8,028",$27B,"$2,790 ",5.40%,$151 ,,0.022,7%,,73,75,71,20%,1,0.272,0.663,0.065,9.8M,64.60%,$2B,$0B
Below Threshold,Above 3%,Uganda,Moderate,$0 ,Africa,1/12/03,4.70%,,"1,709",34,,,$6B,$236 ,7.60%,$18 ,,0.077,1%,0.189,51,51,51,3%,1,0.494,0.481,0.026,26.8M,12.50%,$0B,
Below Threshold,Above 3%,Zambia,Friendly,$0 ,Africa,1/12/03,4.50%,,"2,101",35,,"6,828",$4B,$399 ,6.70%,$27 ,,0.086,1%,0.406,45,45,44,2%,1,0.464,0.509,0.027,10.9M,35.80%,$0B,$0B
Below Threshold,Above 3%,Zimbabwe,Low,$0 ,Africa,1/12/03,3.20%,,"10,627",97,,"9,500",$6B,$452 ,,,,0.058,6%,0.973,43,42,43,3%,1,0.416,0.549,0.035,12.7M,34.50%,$0B,
Below Threshold,Above 3%,Afghanistan,Low,$0 ,Asia,1/12/03,4.70%,,583,,,,$5B,$198 ,10.00%,$18 ,,0.088,0%,,56,57,55,1%,1,0.494,0.485,0.02,23.1M,22.20%,,
Below Threshold,Below 1.5%,Armenia,Very Friendly,$0 ,Asia,1/12/03,1.40%,,"3,429",18,,"1,981",$3B,$925 ,5.60%,$51 ,,0.023,5%,0.208,73,76,69,4%,1,0.233,0.655,0.112,3.0M,64.30%,$0B,$0B
Below Threshold,Below 1.5%,Azerbaijan,Friendly,$0 ,Asia,1/12/03,1.40%,,"30,616",105,,"12,158",$7B,$884 ,6.60%,$57 ,,0.05,,0.155,68,71,65,13%,1,0.28,0.658,0.062,8.2M,52.00%,$0B,$0B
Below Threshold,1.5-3%,Bangladesh,Moderate,$0 ,Asia,1/12/03,2.50%,,"33,883",50,,"21,713",$52B,$373 ,3.00%,$11 ,,0.056,0%,0.16,67,67,66,1%,1,0.354,0.605,0.042,139.2M,25.40%,$0B,$0B
Below Threshold,1.5-3%,Bhutan,Low,$0 ,Asia,1/12/03,2.50%,,378,62,,,$1B,"$1,009 ",5.10%,$51 ,,0.051,2%,0.15,63,63,62,0%,1,0.365,0.595,0.04,0.6M,28.70%,$0B,
Below Threshold,1.5-3%,Brunei,Friendly,"$14,064 ",Asia,1/12/03,2.10%,,"5,357",,,"2,505",$7B,"$18,542 ",3.10%,$575 ,,0.008,20%,0.055,77,79,75,50%,1,0.295,0.675,0.03,0.4M,72.60%,$0B,$0B
Below Threshold,1.5-3%,Cambodia,Moderate,$0 ,Asia,1/12/03,2.60%,,"2,380",94,,"4,115",$5B,$360 ,7.30%,$26 ,,0.063,0%,,65,68,62,4%,1,0.379,0.58,0.041,12.9M,18.90%,$0B,$0B
Below Threshold,Below 1.5%,China,Friendly,$0 ,Asia,1/12/03,1.20%,,"4,525,177",48,,"1,427,554","$1,640B","$1,273 ",4.80%,$61 ,,0.024,6%,0.053,74,75,72,21%,1,0.225,0.702,0.074,"1,288.4M",39.80%,$19B,$17B
Below Threshold,Below 1.5%,Georgia,Very Friendly,$0 ,Asia,1/12/03,1.20%,,"3,773",25,,"2,705",$4B,$922 ,8.50%,$74 ,,0.026,3%,0.238,73,76,69,16%,1,0.197,0.664,0.139,4.3M,52.40%,$0B,$0B
Below Threshold,Below 1.5%,Hong Kong SAR,Very Friendly,"$23,440 ",Asia,1/12/03,0.70%,,"40,066",11,,"13,608",$161B,"$23,920 ",,,,,52%,0.05,82,84,79,106%,1,0.155,0.728,0.117,6.7M,100.00%,$9B,$11B
Below Threshold,1.5-3%,India,Moderate,$0 ,Asia,1/12/03,2.40%,,"1,281,914",89,,"489,507",$618B,$565 ,4.30%,$24 ,,0.06,2%,0.115,64,65,62,3%,1,0.33,0.624,0.046,"1,093.8M",28.60%,$5B,$4B
Below Threshold,1.5-3%,Indonesia,Moderate,$0 ,Asia,1/12/03,2.10%,,"316,792",168,,"165,366",$235B,"$1,077 ",2.50%,$27 ,,0.036,2%,0.169,68,70,66,9%,1,0.301,0.651,0.048,218.1M,44.40%,$4B,$4B
Below Threshold,Below 1.5%,Japan,Very Friendly,"$32,816 ",Asia,1/12/03,0.90%,,"1,237,429",31,,"506,237","$4,300B","$33,668 ",8.00%,"$2,693 ",,0.003,48%,0.018,82,85,78,69%,1,0.141,0.672,0.188,127.7M,83.20%,$11B,$37B
Below Threshold,1.5-3%,Kazakhstan,Friendly,$0 ,Asia,1/12/03,1.70%,,"153,816",26,,"43,041",$31B,"$2,068 ",3.70%,$77 ,,0.032,2%,,67,72,61,9%,1,0.257,0.67,0.074,14.9M,55.10%,$1B,$1B
Below Threshold,1.5-3%,North Korea,Not Clustered,,Asia,1/12/03,1.60%,,"77,777",,,"20,027",,,,,,0.03,,,68,71,64,,1,0.253,0.679,0.068,23.4M,59.60%,,
Below Threshold,Below 1.5%,South Korea,Very Friendly,"$14,064 ",Asia,1/12/03,1.00%,,"466,215",17,,"202,717",$681B,"$14,229 ",5.20%,$695 ,,0.005,66%,0.062,78,81,74,72%,1,0.199,0.716,0.085,47.9M,80.70%,$7B,$11B
Below Threshold,1.5-3%,Kyrgyzstan,Friendly,$0 ,Asia,1/12/03,2.10%,,"5,328",21,,"2,584",$2B,$381 ,5.40%,$21 ,,0.037,4%,0.191,69,72,65,3%,1,0.326,0.617,0.057,5.0M,35.30%,$0B,$0B
Below Threshold,1.5-3%,Laos,Low,$0 ,Asia,1/12/03,2.90%,,"1,129",153,,,$2B,$360 ,4.90%,$18 ,,0.075,0%,0.305,64,65,62,2%,1,0.418,0.545,0.037,5.6M,25.10%,$0B,$0B
Below Threshold,Below 1.5%,Macao SAR,Not Clustered,"$14,064 ",Asia,1/12/03,0.80%,,"1,536",,,,$8B,"$17,586 ",,,,,26%,0.06,79,81,76,81%,1,0.197,0.73,0.074,0.5M,100.00%,$5B,$0B
Below Threshold,1.5-3%,Malaysia,Very Friendly,$0 ,Asia,1/12/03,2.00%,,"160,266",37,,"54,619",$110B,"$4,419 ",3.90%,$172 ,,0.007,35%,0.063,74,76,71,45%,1,0.315,0.644,0.042,24.9M,64.80%,$7B,$3B
Below Threshold,1.5-3%,Maldives,Friendly,$0 ,Asia,1/12/03,2.20%,,598,13,,,$1B,"$3,303 ",6.00%,$199 ,,0.025,6%,0.14,73,74,71,23%,1,0.37,0.587,0.043,0.3M,31.30%,$0B,$0B
Below Threshold,1.5-3%,Mongolia,Friendly,$0 ,Asia,1/12/03,1.90%,,"8,034",20,,"2,525",$2B,$646 ,7.40%,$48 ,,0.042,,0.319,65,68,61,13%,1,0.311,0.652,0.037,2.5M,60.40%,$0B,$0B
Below Threshold,1.5-3%,Myanmar,Low,,Asia,1/12/03,2.00%,,"9,846",,,"14,064",,,2.30%,$4 ,,0.054,0%,0.15,63,65,61,0%,1,0.29,0.661,0.048,49.6M,28.10%,$0B,$0B
Below Threshold,Above 3%,Nepal,Moderate,$0 ,Asia,1/12/03,3.00%,,"2,952",31,,"8,707",$6B,$258 ,5.40%,$14 ,,0.052,0%,0.074,64,65,63,0%,1,0.399,0.559,0.041,24.5M,14.60%,$0B,$0B
Below Threshold,1.5-3%,Pakistan,Moderate,$0 ,Asia,1/12/03,2.90%,,"118,895",24,,"68,695",$83B,$546 ,2.90%,$16 ,,0.083,5%,,65,65,64,2%,1,0.395,0.564,0.04,152.4M,34.10%,$1B,$1B
Below Threshold,1.5-3%,Philippines,Moderate,$0 ,Asia,1/12/03,2.80%,,"71,532",49,,"38,822",$84B,"$1,016 ",3.20%,$33 ,,0.029,5%,0.095,68,71,64,27%,1,0.377,0.59,0.033,82.6M,47.10%,$2B,$2B
Below Threshold,Below 1.5%,Singapore,Very Friendly,"$23,440 ",Asia,1/12/03,1.10%,,"31,133",8,,"25,634",$97B,"$23,574 ",3.60%,$823 ,,0.003,54%,0.053,80,82,77,84%,1,0.201,0.72,0.079,4.1M,100.00%,$4B,$8B
Below Threshold,1.5-3%,Sri Lanka,Friendly,$0 ,Asia,1/12/03,1.90%,,"10,660",58,,"8,682",$19B,$985 ,3.90%,$38 ,,0.013,2%,0.103,74,77,70,7%,1,0.258,0.675,0.067,19.2M,18.40%,$1B,$0B
Below Threshold,1.5-3%,Tajikistan,Moderate,$0 ,Asia,1/12/03,2.90%,,"2,076",,,"2,170",$2B,$238 ,4.50%,$11 ,,0.061,0%,0.167,65,69,61,1%,1,0.402,0.561,0.037,6.5M,26.40%,$0B,$0B
Below Threshold,Below 1.5%,Thailand,Very Friendly,$0 ,Asia,1/12/03,1.30%,,"232,198",33,,"89,107",$143B,"$2,217 ",3.60%,$79 ,,0.017,9%,0.059,72,75,68,34%,1,0.231,0.696,0.073,64.5M,35.00%,$10B,$4B
Below Threshold,Above 3%,Timor-Leste,Low,$0 ,Asia,1/12/03,3.90%,,161,,,,$0B,$468 ,7.50%,$24 ,,0.072,,0.167,62,63,60,2%,1,0.491,0.483,0.026,0.9M,25.30%,,
Below Threshold,1.5-3%,Turkmenistan,Not Clustered,$0 ,Asia,1/12/03,2.30%,,"42,215",,,"17,629",$6B,"$1,286 ",3.80%,$95 ,,0.062,0%,,64,68,60,0%,1,0.342,0.613,0.045,4.6M,46.60%,,
Below Threshold,1.5-3%,Uzbekistan,Low,$0 ,Asia,1/12/03,2.00%,,"122,683",29,,"51,412",$10B,$396 ,5.20%,$20 ,,0.049,2%,,68,71,64,1%,1,0.349,0.605,0.046,25.6M,37.00%,$0B,
Below Threshold,1.5-3%,Vietnam,Friendly,$0 ,Asia,1/12/03,1.70%,,"78,767",59,,"35,111",$43B,$531 ,5.20%,$25 ,,0.025,4%,0.095,75,79,70,3%,1,0.289,0.646,0.065,80.5M,26.10%,$1B,
Below Threshold,1.5-3%,Albania,Friendly,$0 ,Europe,1/12/03,1.60%,,"4,294",41,,"1,976",$6B,"$1,863 ",6.20%,$108 ,,0.02,1%,0.143,76,79,72,34%,1,0.282,0.64,0.078,3.0M,44.60%,$1B,$1B
Below Threshold,Below 1.5%,Andorra,Not Clustered,"$23,440 ",Europe,1/12/03,1.00%,,535,,,,$2B,"$25,355 ",5.80%,"$1,891 ",,0.003,14%,,,,,69%,1,,,,0.1M,91.20%,,
Below Threshold,Below 1.5%,Austria,Very Friendly,"$28,128 ",Europe,1/12/03,1.00%,,"72,317",25,,"32,214",$254B,"$31,275 ",10.30%,"$3,223 ",,0.004,43%,,79,82,76,89%,1,0.165,0.678,0.157,8.1M,65.80%,$15B,$10B
Below Threshold,Below 1.5%,Belarus,Friendly,$0 ,Europe,1/12/03,0.90%,,"53,722",79,,"26,009",$18B,"$1,819 ",6.60%,$120 ,,0.009,,0.24,69,75,63,11%,1,0.166,0.691,0.143,9.8M,71.40%,$0B,$0B
Below Threshold,Below 1.5%,Belgium,Very Friendly,"$28,128 ",Europe,1/12/03,1.10%,,"114,836",56,,"59,242",$312B,"$30,069 ",10.00%,"$3,000 ",,0.004,50%,0.069,78,81,75,83%,1,0.173,0.655,0.172,10.4M,97.30%,$9B,$13B
Below Threshold,Below 1.5%,Bosnia and Herzegovina,Moderate,$0 ,Europe,1/12/03,0.90%,,"23,238",68,,"4,400",$8B,"$2,148 ",8.00%,$174 ,,0.007,4%,0.109,76,78,73,28%,1,0.194,0.684,0.122,3.9M,39.20%,$0B,$0B
Below Threshold,Below 1.5%,Bulgaria,Friendly,$0 ,Europe,1/12/03,0.90%,,"47,308",32,,"19,399",$21B,"$2,642 ",7.60%,$201 ,,0.016,12%,0.085,73,76,69,45%,1,0.143,0.685,0.171,7.8M,69.90%,$2B,$1B
Below Threshold,Below 1.5%,Croatia,Friendly,"$4,688 ",Europe,1/12/03,0.90%,,"23,542",29,,"8,812",$34B,"$7,690 ",6.40%,$495 ,,0.006,23%,0.116,75,78,71,58%,1,0.164,0.67,0.166,4.4M,56.00%,$7B,$1B
Below Threshold,Below 1.5%,Cyprus,Very Friendly,"$9,376 ",Europe,1/12/03,1.20%,,"7,748",,,"2,332",$13B,"$13,344 ",6.80%,"$1,235 ",,0.005,30%,0.069,79,81,76,55%,1,0.209,0.686,0.105,1.0M,68.60%,$2B,$1B
Below Threshold,Below 1.5%,Czech Republic,Friendly,"$4,688 ",Europe,1/12/03,0.90%,,"122,379",40,,"44,415",$95B,"$9,348 ",7.10%,$666 ,,0.005,34%,0.059,76,79,72,95%,1,0.154,0.707,0.139,10.2M,73.70%,$4B,$2B
Below Threshold,Below 1.5%,Denmark,Very Friendly,"$37,504 ",Europe,1/12/03,1.20%,,"55,735",7,,"20,087",$213B,"$39,513 ",9.50%,"$3,756 ",,0.004,76%,,78,80,75,89%,1,0.188,0.663,0.149,5.4M,85.40%,$5B,$7B
Below Threshold,Below 1.5%,Estonia,Very Friendly,"$4,688 ",Europe,1/12/03,1.00%,,"17,052",72,,"5,188",$10B,"$7,182 ",4.90%,$352 ,,0.007,45%,0.055,72,77,66,78%,1,0.161,0.676,0.163,1.4M,69.00%,$1B,$0B
Below Threshold,Above 3%,Faeroe Islands,Not Clustered,"$28,128 ",Europe,1/12/03,,,777,,,,$1B,"$30,779 ",,,,,59%,,80,82,77,79%,1,,,,0.0M,38.70%,,
Below Threshold,Below 1.5%,Finland,Very Friendly,"$28,128 ",Europe,1/12/03,1.10%,,"68,888",31,,"36,747",$164B,"$31,460 ",8.20%,"$2,572 ",,0.003,69%,0.041,79,82,75,91%,1,0.177,0.668,0.155,5.2M,82.60%,$3B,$3B
Below Threshold,Below 1.5%,France,Very Friendly,"$28,128 ",Europe,1/12/03,1.30%,,"387,591",41,,"265,879","$1,790B","$28,758 ",10.80%,"$3,137 ",,0.004,36%,0.066,80,83,76,69%,1,0.186,0.651,0.163,62.2M,76.60%,$46B,$33B
Below Threshold,Below 1.5%,Germany,Very Friendly,"$28,128 ",Europe,1/12/03,0.90%,,"833,406",45,,"338,070","$2,420B","$29,321 ",10.90%,"$3,206 ",,0.004,56%,,79,81,76,77%,1,0.148,0.673,0.179,82.5M,73.20%,$30B,$73B
Below Threshold,Below 1.5%,Greece,Friendly,"$14,064 ",Europe,1/12/03,1.00%,,"95,738",38,,"29,141",$193B,"$17,516 ",8.90%,"$1,579 ",,0.006,18%,0.068,79,81,77,81%,1,0.146,0.674,0.18,11.0M,73.70%,$11B,$2B
Below Threshold,Below 1.5%,Hungary,Friendly,"$4,688 ",Europe,1/12/03,0.90%,,"59,072",52,,"26,136",$84B,"$8,247 ",8.60%,$706 ,,0.008,22%,0.096,73,77,68,78%,1,0.16,0.685,0.155,10.1M,65.50%,$4B,$3B
Below Threshold,Below 1.5%,Iceland,Very Friendly,"$37,504 ",Europe,1/12/03,1.40%,,"2,167",,,"3,273",$11B,"$37,890 ",10.60%,"$4,020 ",,0.003,83%,0.12,82,83,80,97%,1,0.225,0.658,0.117,0.3M,92.80%,$0B,$1B
Below Threshold,1.5-3%,Ireland,Very Friendly,"$37,504 ",Europe,1/12/03,1.50%,,"43,337",18,,"14,061",$159B,"$39,785 ",7.30%,"$2,918 ",,0.005,34%,0.028,79,81,76,87%,1,0.208,0.681,0.111,4.0M,59.90%,$5B,$5B
Below Threshold,Above 3%,Isle of Man,Not Clustered,"$28,128 ",Europe,1/12/03,,,,,,,$2B,"$28,669 ",,,,,,,,,,,1,,,,0.1M,51.90%,,
Below Threshold,Below 1.5%,Italy,Friendly,"$23,440 ",Europe,1/12/03,0.90%,,"468,349",23,,"179,423","$1,510B","$26,346 ",8.20%,"$2,157 ",,0.004,29%,0.058,80,83,77,98%,1,0.142,0.667,0.192,57.3M,67.50%,$33B,$24B
Below Threshold,1.5-3%,Kosovo,Friendly,$0 ,Europe,1/12/03,1.80%,,,,,"1,994",$3B,"$1,970 ",,,,,,,69,71,66,,1,,,,1.7M,,,
Below Threshold,Below 1.5%,Latvia,Very Friendly,"$4,688 ",Europe,1/12/03,0.90%,,"7,088",16,,"4,324",$11B,"$4,889 ",6.20%,$295 ,,0.012,27%,0.054,72,77,66,53%,1,0.158,0.679,0.163,2.3M,67.80%,$0B,$0B
Below Threshold,Below 1.5%,Liechtenstein,Not Clustered,"$89,072 ",Europe,1/12/03,1.00%,,,,,,$3B,"$89,945 ",,,,,59%,,80,82,78,73%,1,,,,0.0M,14.90%,,
Below Threshold,Below 1.5%,Lithuania,Very Friendly,"$4,688 ",Europe,1/12/03,0.90%,,"12,915",26,,"9,253",$19B,"$5,449 ",6.50%,$351 ,,0.009,26%,0.058,73,78,67,62%,1,0.18,0.673,0.147,3.4M,66.70%,$1B,$0B
Below Threshold,Below 1.5%,Luxembourg,Friendly,"$60,944 ",Europe,1/12/03,1.20%,,"9,905",,,"3,843",$29B,"$64,532 ",7.70%,"$4,984 ",,0.003,55%,,78,81,75,121%,1,0.189,0.668,0.144,0.5M,85.70%,$3B,$2B
Below Threshold,Below 1.5%,North Macedonia,Very Friendly,$0 ,Europe,1/12/03,1.20%,,"11,309",48,,"2,776",$5B,"$2,286 ",9.30%,$212 ,,0.013,19%,0.16,74,76,71,37%,1,0.208,0.684,0.108,2.1M,57.90%,$0B,$0B
Below Threshold,Below 1.5%,Malta,Friendly,"$9,376 ",Europe,1/12/03,1.00%,,"2,582",,,826,$5B,"$12,845 ",8.20%,"$1,074 ",,0.006,32%,0.059,79,81,76,70%,1,0.185,0.691,0.123,0.4M,93.20%,$1B,$0B
Below Threshold,Below 1.5%,Moldova,Friendly,$0 ,Europe,1/12/03,1.20%,,"4,290",42,,"3,360",$2B,$548 ,8.30%,$46 ,,0.021,7%,0.193,68,72,64,12%,1,0.208,0.683,0.108,3.6M,45.50%,$0B,$0B
Below Threshold,Above 3%,Monaco,Not Clustered,"$107,824 ",Europe,1/12/03,,,,,,,$4B,"$108,863 ",3.90%,"$4,216 ",,0.004,50%,,,,,46%,1,,,,0.0M,100.00%,,
Below Threshold,Below 1.5%,Montenegro,Very Friendly,$0 ,Europe,1/12/03,1.30%,,,,,,$2B,"$2,784 ",9.10%,$254 ,,0.011,,,74,76,71,,1,0.205,0.67,0.125,0.6M,61.60%,,
Below Threshold,Below 1.5%,Netherlands,Very Friendly,"$32,816 ",Europe,1/12/03,1.20%,,"175,041",9,,"78,010",$538B,"$33,158 ",9.80%,"$3,249 ",,0.005,64%,0.03,79,81,76,82%,1,0.186,0.676,0.138,16.2M,80.30%,$15B,$16B
Below Threshold,Below 1.5%,Norway,Very Friendly,"$46,880 ",Europe,1/12/03,1.20%,,"42,625",18,,"27,020",$225B,"$49,290 ",10.60%,"$5,220 ",,0.004,78%,0.047,80,82,77,89%,1,0.199,0.653,0.148,4.6M,77.20%,$3B,$7B
Below Threshold,Below 1.5%,Poland,Very Friendly,"$4,688 ",Europe,1/12/03,0.90%,,"304,856",31,,"91,105",$217B,"$5,680 ",6.20%,$354 ,,0.007,25%,0.073,75,79,71,46%,1,0.174,0.696,0.13,38.2M,61.70%,$5B,$3B
Below Threshold,Below 1.5%,Portugal,Very Friendly,"$14,064 ",Europe,1/12/03,1.10%,,"61,276",78,,"25,129",$162B,"$15,489 ",9.70%,"$1,514 ",,0.004,30%,,78,81,74,96%,1,0.158,0.674,0.168,10.5M,56.30%,$8B,$3B
Below Threshold,Below 1.5%,Romania,Friendly,$0 ,Europe,1/12/03,1.00%,,"95,940",29,,"39,525",$59B,"$2,756 ",5.30%,$146 ,,0.021,9%,0.254,72,75,68,32%,1,0.166,0.691,0.143,21.6M,52.90%,$1B,$1B
Below Threshold,Below 1.5%,Russia,Moderate,$0 ,Europe,1/12/03,1.00%,,"1,604,973",43,,"645,323",$430B,"$2,972 ",5.60%,$167 ,,0.017,8%,0.13,66,72,59,25%,1,0.162,0.705,0.134,144.7M,73.40%,$6B,$13B
Below Threshold,Above 3%,San Marino,Friendly,"$37,504 ",Europe,1/12/03,,,,,,,$1B,"$39,128 ",5.10%,"$2,837 ",,0.004,50%,0.075,82,85,78,59%,1,,,,0.0M,94.00%,,
Below Threshold,Below 1.5%,Serbia,Friendly,$0 ,Europe,1/12/03,1.10%,,,56,,"16,635",$20B,"$2,614 ",8.80%,$171 ,,0.009,,0.155,73,75,70,,1,0.189,0.674,0.137,7.5M,54.00%,$0B,$0B
Below Threshold,Below 1.5%,Slovakia,Very Friendly,"$4,688 ",Europe,1/12/03,1.00%,,"39,494",103,,"18,639",$46B,"$8,530 ",5.80%,$360 ,,0.009,43%,0.085,74,78,70,68%,1,0.179,0.706,0.116,5.4M,55.90%,$1B,$1B
Below Threshold,Below 1.5%,Slovenia,Very Friendly,"$14,064 ",Europe,1/12/03,0.90%,,"15,500",60,,"6,912",$29B,"$14,607 ",8.60%,"$1,263 ",,0.004,32%,0.108,77,81,73,87%,1,0.147,0.703,0.15,2.0M,50.70%,$1B,$1B
Below Threshold,Below 1.5%,Spain,Very Friendly,"$18,752 ",Europe,1/12/03,1.00%,,"321,097",114,,"133,196",$884B,"$20,954 ",8.20%,"$1,730 ",,0.005,40%,,80,83,76,89%,1,0.145,0.687,0.169,42.2M,76.80%,$44B,$11B
Below Threshold,Below 1.5%,Sweden,Very Friendly,"$32,816 ",Europe,1/12/03,1.10%,,"54,781",16,,"50,618",$315B,"$35,163 ",9.30%,"$3,277 ",,0.003,79%,0.048,80,82,78,98%,1,0.179,0.649,0.172,9.0M,84.20%,$7B,$9B
Below Threshold,Below 1.5%,Switzerland,Very Friendly,"$42,192 ",Europe,1/12/03,1.00%,,"40,205",20,,"25,996",$335B,"$45,647 ",10.90%,"$5,002 ",,0.004,65%,0.033,81,83,78,85%,1,0.168,0.676,0.156,7.3M,73.40%,$10B,$9B
Below Threshold,1.5-3%,Turkey,Friendly,$0 ,Europe,1/12/03,2.00%,,"218,509",38,,"77,833",$303B,"$4,595 ",5.30%,$232 ,,0.029,12%,,72,75,68,42%,1,0.293,0.643,0.064,65.9M,66.60%,$13B,$2B
Below Threshold,Below 1.5%,Ukraine,Moderate,$0 ,Europe,1/12/03,0.90%,,"352,259",40,,"144,641",$50B,"$1,049 ",6.90%,$73 ,,0.014,3%,0.179,69,74,63,14%,1,0.156,0.693,0.15,47.8M,67.40%,$1B,$1B
Below Threshold,Below 1.5%,United Kingdom,Very Friendly,"$28,128 ",Europe,1/12/03,1.20%,,"540,640",13,,"222,080","$1,880B","$31,518 ",7.80%,"$2,444 ",,0.005,65%,0.037,79,81,76,91%,1,0.183,0.658,0.159,59.6M,79.30%,$31B,$59B
Below Threshold,1.5-3%,Bahrain,Very Friendly,"$14,064 ",Middle East,1/12/03,2.00%,,"16,468",,,"6,752",$11B,"$14,345 ",3.70%,$536 ,,0.01,22%,0.083,75,76,74,57%,1,0.294,0.683,0.023,0.8M,88.40%,$1B,$0B
Below Threshold,1.5-3%,Iran,Low,$0 ,Middle East,1/12/03,1.80%,,"418,859",29,,"142,649",$135B,"$1,970 ",4.70%,$97 ,,0.024,7%,,71,72,70,5%,1,0.289,0.664,0.047,68.5M,66.20%,$1B,$4B
Below Threshold,Above 3%,Iraq,Low,,Middle East,1/12/03,3.50%,,"91,118",,,"27,086",,,4.40%,$16 ,,0.034,1%,,71,73,68,0%,1,0.422,0.543,0.035,26.0M,68.70%,,
Below Threshold,1.5-3%,Israel,Very Friendly,"$14,064 ",Middle East,1/12/03,2.20%,,"65,122",20,,"19,730",$119B,"$17,789 ",7.70%,"$1,364 ",,0.005,20%,0.106,80,82,78,104%,1,0.28,0.62,0.1,6.7M,91.40%,$2B,$3B
Below Threshold,Above 3%,Jordan,Moderate,$0 ,Middle East,1/12/03,3.00%,,"17,470",79,,"5,176",$10B,"$1,974 ",9.20%,$187 ,,0.022,9%,0.093,73,74,71,27%,1,0.387,0.582,0.031,5.2M,80.60%,$1B,$1B
Below Threshold,1.5-3%,Kuwait,Moderate,"$18,752 ",Middle East,1/12/03,2.20%,,"61,657",35,,"22,001",$48B,"$22,622 ",3.20%,$728 ,,0.01,22%,0.054,74,75,73,67%,1,0.256,0.71,0.034,2.1M,98.20%,$0B,$4B
